Job Information - Effective Date,All records independent of date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Information - Effective Sequence,All records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSN,File Number,Employee ID,First Name,Last Name,Birth Date,Gender,Mailing Address Line 1,Mailing Address Line 2,Mailing Address City,Mailing Address State,Mailing Address ZIP/Postal,Phone Number,Payroll Frequency,Annual Rate,Location Code (Work),Location Name,Pay Group,Department Code,Department Name,Hourly Rate,Hire Date,Job Termination Date,Job Rehire Date,Employee Status,Job Information Effective Date,Job Title,Reason Code,Action/Reason Description,Action/Reasons Effective Date,Job Action,Full-Time/Part-Time
555-44-8838,200031,10030,John,Doe,19/02/1990,Male,153 Address RD,,Little Rock,AR,72205,(870) 946-3864,24,50.00,6110,Stuttgart Rice Division,J67,610796,Stgt Rice Maintenance General,1.00,08/20/1993,06/14/1994,02/15/2017,Active,03/02/2018,Plant Electrician,,,,PAY,F
555-44-8839,200032,10031,John,Doe,20/02/1990,Male,154 Address RD,,Little Rock,AR,72205,,24,50.00,6110,Stuttgart Rice Division,@HR,611496,Stgt C/Rice Dom Pkg Ship,1.00,03/02/2018,03/02/2018,,Active,03/02/2018,Checker III,,,,HIR,F
555-44-8840,200033,10032,John,Doe,21/02/1990,Male,155 Address RD,,Little Rock,AR,72205,,52,50.00,6110,Stuttgart Rice Division,@HR,611496,Stgt C/Rice Dom Pkg Ship,1.00,03/02/2018,03/02/2018,,Terminated,03/02/2018,Checker III,V,Violate Co Policy,01/01/1921,TER,F
555-44-8841,200034,10033,John,Doe,22/02/1990,Male,156 Address RD,,Little Rock,AR,72205,870/697-3339,52,50.00,7701,Pension NB,J68,770000,Riceland Foods Employee Pensio,1.00,02/28/1977,,,Active,03/01/2018,Default,TRA,TRANSFER,01/01/1921,XFR,F
555-44-8842,200035,10034,John,Doe,23/02/1990,Male,157 Address RD,,Little Rock,AR,72205,870/206-3088,52,50.00,0004,Jonesboro Drier,J69,040116,Jnsb Grain Drier,1.00,07/30/2010,04/24/2013,03/12/2018,Active,03/12/2018,Bin & Leg Setter,REH,Rehire,01/01/1950,REH,F
555-44-8843,200036,10035,John,Doe,24/02/1990,Male,158 Address RD,,Little Rock,AR,72205,(870) 692-9405,52,50.00,0001,Stuttgart Drier,J69,010126,Stgt Grain Drier 3,1.00,09/21/1989,12/17/2007,06/20/2016,ActivE,03/09/2018,Drier Oper,MER,Merit,12/31/1899,PAY,F
555-44-8844,200037,10036,John,Doe,25/02/1990,Male,159 Address RD,,Little Rock,AR,72205,870/267-5154,52,50.00,6110,Stuttgart Rice Division,@HR,611696,Stgt Co-Products Bulk Shipping,1.00,10/11/2017,03/06/2018,,Terminate,03/06/2018,General Utility Pers,TRA,TRANSFER,01/01/1921,XFR,F
555-44-8844,200037,10036,John,Doe,25/02/1990,Male,159 Address RD,,Little Rock,AR,72205,870/267-5154,52,100.00,6110,Stuttgart Rice Division,@HR,611696,Stgt Co-Products Bulk Shipping,1.00,10/11/2017,03/06/2018,,Terminate,03/06/2018,General Utility Pers,TRA,TRANSFER,01/01/1921,XFR,F
555-44-8844,200037,10036,John,Doe,25/02/1990,Male,159 Address RD,,Little Rock,AR,72205,870/267-5154,52,150.00,6110,Stuttgart Rice Division,@HR,611696,Stgt Co-Products Bulk Shipping,1.00,10/11/2017,03/06/2018,,Terminate,03/06/2018,General Utility Pers,TRA,TRANSFER,01/01/1921,XFR,F
555-44-8844,200037,10036,John,Doe,25/02/1990,Male,159 Address RD,,Little Rock,AR,72205,870/267-5154,52,200.00,6110,Stuttgart Rice Division,@HR,611696,Stgt Co-Products Bulk Shipping,1.00,10/11/2017,03/06/2018,,Terminate,03/06/2018,General Utility Pers,TRA,TRANSFER,01/01/1921,XFR,F
